211,218,203,White
211,225,209,White
220,230,217,White
213,221,207,White
206,221,206,White
226,234,222,White
228,231,218,White
221,227,204,White
206,222,197,White
144,157,137,White
208,219,197,White
155,163,148,White
165,171,162,White
156,162,147,White
164,168,160,White
212,229,207,White
183,196,179,White
156,171,151,White
201,224,15,Yellow
208,234,23,Yellow
218,238,26,Yellow
200,228,16,Yellow
196,226,14,Yellow
198,225,14,Yellow
197,225,14,Yellow
197,226,14,Yellow
197,227,15,Yellow
150,184,4,Yellow
216,237,25,Yellow
147,170,3,Yellow
162,190,5,Yellow
194,232,18,Yellow
150,181,4,Yellow
143,179,3,Yellow
207,237,22,Yellow
209,235,21,Yellow
143,171,0,Yellow
160,191,7,Yellow
164,196,10,Yellow
211,237,23,Yellow
205,233,23,Yellow
155,188,7,Yellow
214,237,28,Yellow
201,225,22,Yellow
148,176,5,Yellow
209,234,23,Yellow
148,172,3,Yellow
199,222,15,Yellow
216,236,25,Yellow
200,228,15,Yellow
196,223,13,Yellow
205,230,17,Yellow
172,28,23,Red
215,56,53,Red
184,37,30,Red
178,39,36,Red
192,50,46,Red
188,40,38,Red
116,4,5,Red
181,30,26,Red
172,36,28,Red
191,38,39,Red
188,51,45,Red
155,17,20,Red
192,47,41,Red
177,48,40,Red
180,45,32,Red
192,41,21,Red
189,28,13,Red
194,42,20,Red
210,56,52,Red
211,54,51,Red
205,39,40,Red
201,49,46,Red
206,42,44,Red
224,35,46,Red
196,30,44,Red
149,18,18,Red
201,39,38,Red
190,35,37,Red
134,11,10,Red
172,23,22,Red
176,43,36,Red
124,8,5,Red
185,26,31,Red
122,8,8,Red
181,30,29,Red
174,23,20,Red
194,38,37,Red
193,39,40,Red
171,20,22,Red
255,106,82,Orange
255,92,49,Orange
255,112,85,Orange
255,106,82,Orange
255,115,89,Orange
255,96,38,Orange
255,111,84,Orange
255,113,87,Orange
255,117,91,Orange
255,99,32,Orange
255,93,18,Orange
255,116,86,Orange
255,117,88,Orange
255,129,98,Orange
255,132,102,Orange
255,117,89,Orange
255,125,94,Orange
255,123,95,Orange
225,77,51,Orange
212,66,39,Orange
226,76,52,Orange
230,81,58,Orange
238,87,57,Orange
224,73,48,Orange
220,71,47,Orange
232,82,57,Orange
220,72,47,Orange
255,120,92,Orange
249,105,77,Orange
255,111,86,Orange
255,127,88,Orange
255,113,86,Orange
0,176,16,Green
0,174,10,Green
0,174,9,Green
0,182,22,Green
0,179,27,Green
0,175,16,Green
0,181,21,Green
0,176,11,Green
0,178,13,Green
0,180,12,Green
0,175,12,Green
0,182,19,Green
0,174,9,Green
2,198,20,Green
1,192,22,Green
0,186,27,Green
1,194,28,Green
0,185,21,Green
3,205,34,Green
1,199,31,Green
5,206,34,Green
0,184,15,Green
0,140,10,Green
0,133,3,Green
0,124,3,Green
0,140,4,Green
0,191,24,Green
1,198,27,Green
0,181,6,Green
3,206,38,Green
0,158,24,Green
1,194,31,Green
0,136,10,Green
2,197,32,Green
0,125,4,Green
0,184,24,Green
0,136,6,Green
0,162,18,Green
0,184,17,Green
1,184,20,Green
7,210,47,Green
0,177,13,Green
0,185,15,Green
0,134,3,Green
0,186,19,Green
0,92,167,Blue
0,97,175,Blue
0,92,167,Blue
0,100,180,Blue
0,105,185,Blue
0,95,174,Blue
0,100,178,Blue
0,101,178,Blue
0,106,182,Blue
4,127,214,Blue
2,124,207,Blue
0,101,178,Blue
2,116,204,Blue
3,127,212,Blue
3,124,217,Blue
0,106,190,Blue
1,121,202,Blue
0,101,179,Blue
0,70,136,Blue
0,72,134,Blue
0,68,128,Blue
2,102,191,Blue
9,154,221,Blue
1,109,189,Blue
2,120,206,Blue
1,116,198,Blue
0,111,191,Blue
0,105,183,Blue
0,104,182,Blue
0,103,178,Blue
0,99,178,Blue
0,107,190,Blue
0,102,183,Blue
0,106,189,Blue
0,101,178,Blue
0,101,178,Blue
2,111,194,Blue
1,114,201,Blue
2,118,201,Blue
1,116,198,Blue
6,147,231,Blue
1,115,198,Blue
4,123,209,Blue
1,95,182,Blue
0,106,191,Blue
0,106,184,Blue
0,97,178,Blue
255,150,94,Orange
255,142,89,Orange
255,144,90,Orange
255,138,85,Orange
255,140,84,Orange
255,139,84,Orange
255,137,82,Orange
255,130,79,Orange
254,131,79,Orange
255,130,81,Orange
255,126,76,Orange
255,129,79,Orange
255,130,80,Orange
255,134,81,Orange
255,160,100,Orange
255,162,105,Orange
255,143,89,Orange
255,137,82,Orange
255,143,89,Orange
255,135,81,Orange
255,130,81,Orange
255,146,91,Orange
255,136,85,Orange
255,135,84,Orange
255,148,93,Orange
255,149,92,Orange
255,139,85,Orange
255,134,81,Orange
255,132,79,Orange
255,136,83,Orange
255,140,87,Orange
255,127,73,Orange
255,140,84,Orange
255,136,82,Orange
180,31,24,Red
184,32,29,Red
185,33,26,Red
187,34,24,Red
189,36,29,Red
177,32,25,Red
179,39,35,Red
184,37,34,Red
179,32,31,Red
187,31,30,Red
212,47,39,Red
208,46,36,Red
207,47,34,Red
226,67,55,Red
183,36,34,Red
186,45,44,Red
196,41,35,Red
200,46,36,Red
180,30,23,Red
190,35,31,Red
184,30,22,Red
183,32,21,Red
187,38,28,Red
189,40,32,Red
181,39,34,Red
182,34,31,Red
182,35,35,Red
207,39,37,Red
180,30,24,Red
229,64,52,Red
219,56,43,Red
223,61,53,Red
243,75,66,Red
185,30,25,Red
217,53,42,Red
225,57,45,Red
229,58,47,Red
248,79,68,Red
191,35,29,Red
188,34,23,Red
195,43,34,Red
191,38,29,Red
200,41,37,Red
184,36,34,Red
213,212,196,White
206,207,188,White
210,211,188,White
212,213,195,White
208,208,188,White
199,205,189,White
198,206,188,White
220,217,203,White
220,216,204,White
214,212,198,White
214,218,200,White
213,214,197,White
218,218,200,White
219,216,202,White
210,210,192,White
205,209,194,White
212,211,198,White
208,204,190,White
215,216,199,White
212,213,194,White
216,212,193,White
214,214,197,White
211,213,194,White
212,213,192,White
214,215,194,White
216,217,198,White
215,220,198,White
217,216,198,White
213,218,200,White
216,216,200,White
203,207,190,White
220,225,209,White
200,205,187,White
226,226,212,White
219,218,208,White
212,213,199,White
211,216,201,White
0,179,2,Green
0,182,0,Green
0,178,1,Green
0,182,0,Green
0,180,0,Green
0,183,0,Green
0,177,0,Green
0,181,0,Green
0,186,0,Green
0,184,0,Green
0,194,1,Green
4,204,5,Green
0,190,2,Green
1,194,2,Green
3,201,3,Green
4,202,4,Green
0,187,1,Green
0,189,2,Green
0,181,1,Green
0,191,2,Green
4,203,4,Green
0,190,2,Green
3,198,3,Green
1,197,1,Green
5,209,6,Green
5,204,4,Green
4,200,4,Green
0,186,2,Green
0,178,1,Green
